TaskType,PriTaskModality,TargetSize,TargetDestDistance,PathDir,PriTaskElapsed,RotTaskElapsed,NumbWrongDeselection,NumbPathExit,PathFirstSegExit,PathMidSegExit,PathLastSegExit,NumbMismatchRotTask,Time Stamp
1,ControllerClick,big,40.000,up,3.951,9999.000,0,1,1,0,0,9999,07Sep:12:39:21 PM
1,ControllerClick,big,0.000,up,2.349,0.000,0,1,1,0,0,0,07Sep:12:39:25 PM
1,ControllerClick,big,0.000,up,4.720,0.000,0,1,1,0,0,0,07Sep / 12:41:51 PM
1,ControllerClick,big,0.000,up,2.189,0.000,0,1,1,0,0,0,07Sep / 12:41:55 PM
1,ControllerClick,big,0.000,up,9.050,0.000,0,1,1,0,0,0,07Sep / 12:42:06 PM
1,ControllerClick,big,0.000,up,4.300,0.000,0,1,1,0,0,0,07Sep / 12:43:12 PM
1,ControllerClick,big,0.000,up,12.240,0.000,0,1,1,0,0,0,07Sep / 2:57:00 PM
1,ControllerClick,big,0.000,down,3.380,0.000,0,1,1,0,0,0,07Sep / 3:00:34 PM
1,ControllerClick,medium,40.000,down,9.760,9999.000,0,1,1,0,0,9999,07Sep / 3:03:48 PM
1,ControllerClick,medium,40.000,down,4.107,9999.000,0,1,1,0,0,9999,07Sep / 3:03:53 PM
1,ControllerClick,big,40.000,down,5.220,9999.000,0,1,1,0,0,9999,09Sep / 10:00:06 PM
1,ControllerClick,medium,40.000,up,18.422,9999.000,0,1,1,0,0,9999,10Sep / 1:47:55 PM
1,ControllerClick,medium,40.000,down,1.680,9999.000,0,0,0,0,0,9999,10Sep / 1:47:59 PM
1,ControllerClick,medium,30.000,up,19.204,9999.000,0,18,0,1,17,9999,10Sep / 1:48:19 PM
1,ControllerClick,big,40.000,up,2.191,9999.000,0,0,0,0,0,9999,10Sep / 1:48:23 PM
1,ControllerClick,big,40.000,down,3.270,9999.000,0,2,0,2,0,9999,10Sep / 1:48:28 PM
1,ControllerClick,small,40.000,up,2.262,9999.000,0,3,0,1,2,9999,10Sep / 1:48:32 PM
1,ControllerClick,small,40.000,down,3.996,9999.000,0,3,0,3,0,9999,10Sep / 1:48:37 PM
1,ControllerClick,small,30.000,up,9.777,9999.000,0,6,0,6,0,9999,10Sep / 1:48:48 PM
1,ControllerClick,big,20.000,up,1.159,9999.000,0,0,0,0,0,9999,10Sep / 1:48:51 PM
1,ControllerClick,big,20.000,down,1.040,9999.000,0,0,0,0,0,9999,10Sep / 1:48:54 PM
1,ControllerClick,small,30.000,down,2.174,9999.000,0,1,0,1,0,9999,10Sep / 1:48:57 PM
1,ControllerClick,small,20.000,up,2.652,9999.000,0,0,0,0,0,9999,10Sep / 1:49:02 PM
1,ControllerClick,small,20.000,down,2.255,9999.000,0,0,0,0,0,9999,10Sep / 1:49:05 PM
1,ControllerClick,big,30.000,up,1.322,9999.000,0,0,0,0,0,9999,10Sep / 1:49:08 PM
1,ControllerClick,big,30.000,down,1.070,9999.000,0,0,0,0,0,9999,10Sep / 1:49:11 PM
1,ControllerClick,medium,30.000,down,1.271,9999.000,0,0,0,0,0,9999,10Sep / 1:49:14 PM
1,ControllerClick,medium,20.000,up,1.094,9999.000,0,0,0,0,0,9999,10Sep / 1:49:16 PM
1,ControllerClick,medium,20.000,down,1.295,9999.000,0,0,0,0,0,9999,10Sep / 1:49:19 PM
1,ControllerClick,big,20.000,up,0.986,9999.000,0,0,0,0,0,9999,10Sep / 1:49:21 PM
1,ControllerClick,big,20.000,down,0.942,9999.000,0,0,0,0,0,9999,10Sep / 1:49:24 PM
1,ControllerClick,medium,30.000,down,1.555,9999.000,0,0,0,0,0,9999,10Sep / 1:49:27 PM
1,ControllerClick,medium,20.000,up,2.211,9999.000,1,1,0,0,1,9999,10Sep / 1:49:31 PM
1,ControllerClick,medium,20.000,down,4.011,9999.000,0,2,1,0,1,9999,10Sep / 1:49:36 PM
1,ControllerClick,small,30.000,down,2.071,9999.000,0,1,0,1,0,9999,10Sep / 1:49:40 PM
1,ControllerClick,small,20.000,up,2.173,9999.000,0,3,1,1,1,9999,10Sep / 1:49:44 PM
1,ControllerClick,small,20.000,down,2.629,9999.000,0,0,0,0,0,9999,10Sep / 1:49:48 PM
1,ControllerClick,big,40.000,up,1.732,9999.000,0,0,0,0,0,9999,10Sep / 1:49:51 PM
1,GazeGesture,big,30.000,up,50.311,9999.000,1,3,0,3,0,9999,10Sep / 2:24:16 PM
1,GazeGesture,big,30.000,down,10.743,9999.000,3,0,0,0,0,9999,10Sep / 2:24:29 PM
1,GazeGesture,small,30.000,down,16.303,9999.000,3,1,0,1,0,9999,10Sep / 2:24:46 PM
1,GazeGesture,small,20.000,up,11.871,9999.000,4,3,0,3,0,9999,10Sep / 2:25:00 PM
1,GazeGesture,small,20.000,down,9.322,9999.000,1,8,4,4,0,9999,10Sep / 2:25:11 PM
1,GazeGesture,small,40.000,up,20.955,2.377,2,9,6,1,2,9999,10Sep / 2:25:39 PM
2,GazeGesture,small,40.000,down,6.933,2.765,0,5,0,3,2,0,10Sep / 2:25:47 PM
2,GazeGesture,small,30.000,up,12.148,1.969,3,4,3,1,0,0,10Sep / 2:26:01 PM
1,GazeGesture,big,40.000,up,46.644,9999.000,1,0,0,0,0,9999,10Sep / 2:32:01 PM
1,GazeGesture,big,40.000,down,9.270,9999.000,1,0,0,0,0,9999,10Sep / 2:32:11 PM
1,GazeGesture,small,30.000,down,2.458,9999.000,0,8,1,5,2,9999,10Sep / 2:32:15 PM
1,GazeGesture,small,20.000,up,4.660,9999.000,0,3,1,2,0,9999,10Sep / 2:32:22 PM
1,GazeGesture,small,20.000,down,6.430,9999.000,0,9,1,5,3,9999,10Sep / 2:32:29 PM
1,GazeGesture,medium,30.000,down,9.294,9999.000,0,0,0,0,0,9999,10Sep / 2:32:40 PM
1,GazeGesture,medium,20.000,up,4.198,9999.000,1,1,0,1,0,9999,10Sep / 2:32:46 PM
1,GazeGesture,medium,20.000,down,28.931,9999.000,0,5,2,3,0,9999,10Sep / 2:33:16 PM
1,GazeGesture,big,30.000,up,1.947,9999.000,0,0,0,0,0,9999,10Sep / 2:33:20 PM
1,GazeGesture,big,30.000,down,2.617,9999.000,0,1,0,1,0,9999,10Sep / 2:33:24 PM
1,GazeGesture,medium,40.000,up,2.140,9999.000,0,4,1,3,0,9999,10Sep / 2:33:28 PM
1,GazeGesture,medium,40.000,down,2.398,9999.000,0,2,2,0,0,9999,10Sep / 2:33:32 PM
1,GazeGesture,medium,30.000,up,4.322,9999.000,0,2,1,1,0,9999,10Sep / 2:33:37 PM
1,GazeGesture,small,40.000,up,7.748,9999.000,0,7,4,2,1,9999,10Sep / 2:33:47 PM
1,GazeGesture,small,40.000,down,6.728,9999.000,0,7,0,2,5,9999,10Sep / 2:33:55 PM
1,GazeGesture,small,30.000,up,26.544,9999.000,6,17,14,2,1,9999,10Sep / 2:34:23 PM
1,GazeGesture,big,20.000,up,1.924,9999.000,0,0,0,0,0,9999,10Sep / 2:34:26 PM
1,GazeGesture,big,20.000,down,1.659,9999.000,0,1,0,1,0,9999,10Sep / 2:34:30 PM
1,GazeGesture,medium,30.000,down,2.299,9999.000,0,1,0,1,0,9999,10Sep / 2:34:33 PM
1,GazeGesture,medium,20.000,up,1.917,9999.000,0,1,0,1,0,9999,10Sep / 2:34:37 PM
2,GazeGesture,big,40.000,up,50.044,1.602,0,2,0,2,0,0,10Sep / 2:36:12 PM
2,GazeGesture,big,40.000,down,3.274,0.728,0,2,1,1,0,0,10Sep / 2:36:17 PM
2,GazeGesture,big,30.000,up,3.313,0.779,0,0,0,0,0,0,10Sep / 2:36:22 PM
2,GazeGesture,big,30.000,down,10.786,6.156,1,7,3,4,0,0,10Sep / 2:36:34 PM
2,GazeGesture,medium,30.000,down,16.497,12.421,2,2,1,1,0,0,10Sep / 2:36:52 PM
